code,value,slots,rarities,carriers,win,gap,error,procs,moved,moved_share,win_зеркало,win_танк,win_ловкач,win_моб,win_старший
nimble,5,амулет,common,Смазанная монетка,52.58666666666667,9.42,0.5846554199442838,0.0,0.0,0.0,60.83333333333333,71.6,64.33333333333333,50.8,15.366666666666667
opening_blast,4,амулет,common,Сухарик последнего шанса,49.45333333333333,6.286666666666667,0.38845062855798307,1.0,42.0,4.285714285714286,57.166666666666664,68.30000000000001,62.133333333333326,47.06666666666667,12.6
opening_shield,3,амулет,common,Амулет красной кнопки,47.233333333333334,4.066666666666666,0.3161032595873567,2.0249333333333333,60.0,6.122448979591836,54.766666666666666,66.83333333333333,60.3,43.53333333333333,10.733333333333334
perfect_parry,110,экипировка,legendary,Перчатки вратаря сборной двора,66.54666666666667,23.380000000000003,0.6773579712766976,1.0,88.7186,9.052918367346937,75.43333333333334,81.86666666666666,78.23333333333333,70.19999999999999,27.0
perfect_parry,70,экипировка,rare,Перчатки дворового вратаря,61.76666666666667,18.6,0.6227211171190361,1.0,68.94773333333333,7.035482993197278,71.16666666666667,78.43333333333334,73.83333333333333,63.366666666666674,22.03333333333333
perfect_parry,90,экипировка,legendary,Варежки последнего кассира,66.54666666666667,23.380000000000003,0.6773579712766976,1.0,88.7186,9.052918367346937,75.43333333333334,81.86666666666666,78.23333333333333,70.19999999999999,27.0
phantom_step,1,экипировка,legendary,Берцы полуночного призрака,67.72666666666667,24.560000000000002,0.97358326918732,2.0,0.0,0.0,78.86666666666666,83.7,78.13333333333333,69.73333333333333,28.199999999999996
piercing,12,амулет,uncommon,Сверло судьбы,59.266666666666666,16.1,0.5881916259966584,0.0,0.0,0.0,67.80000000000001,78.9,71.5,58.733333333333334,19.400000000000002
plating,3,амулет,common,Крышка от банки огурцов,47.513333333333335,4.346666666666667,0.32632710008604077,0.0,0.0,0.0,55.166666666666664,67.36666666666666,60.36666666666667,43.766666666666666,10.9
poison,15,амулет,uncommon,Кислая конфета возмездия,56.720000000000006,13.553333333333335,0.5478000965718157,5.662733333333334,84.5456,8.627102040816325,66.33333333333333,75.63333333333333,71.03333333333333,53.6,17.0
precision,25,амулет,common,Лазерная точка,48.733333333333334,5.566666666666667,0.46613457053087626,0.0,0.0,0.0,57.233333333333334,66.63333333333334,64.7,43.833333333333336,11.266666666666666
precision,55,экипировка,rare,Перчатки дартс-чемпиона,55.35333333333333,12.186666666666666,0.6485322420315915,0.0,0.0,0.0,64.23333333333333,72.16666666666667,74.43333333333332,50.46666666666667,15.466666666666667
precision,60,оружие,rare,Дуэльный стилет,56.54,13.373333333333335,0.6680511687667667,0.0,0.0,0.0,65.36666666666666,73.0,76.36666666666667,51.63333333333333,16.333333333333332
precision,70,оружие,rare,Рапира без промаха,58.726666666666674,15.559999999999999,0.7011117878204756,0.0,0.0,0.0,67.53333333333333,75.2,80.2,53.46666666666666,17.233333333333334
precision,85,экипировка,legendary,Перчатки короля дартс-турнира,61.646666666666675,18.48,0.7410019912093943,0.0,0.0,0.0,71.23333333333333,77.13333333333333,84.43333333333334,56.599999999999994,18.833333333333332
precision,90,оружие,legendary,Рапира идеальной линии,62.73333333333333,19.566666666666666,0.7541335167778839,0.0,0.0,0.0,72.5,78.0,85.56666666666666,57.8,19.8
regen,16,экипировка,legendary,Сапоги с грелкой на максимум,70.47333333333333,27.30666666666667,0.7130279516909455,13.505,216.003,22.041122448979593,81.0,93.0,80.36666666666666,69.33333333333334,28.666666666666668
regen,8,экипировка,rare,Сапоги с автогрелкой,57.50666666666666,14.34,0.5609039901400925,12.945933333333333,103.5654,10.567897959183673,65.93333333333334,82.19999999999999,68.60000000000001,54.233333333333334,16.566666666666666
regen,9,амулет/оружие,rare,"Ремонтный ёршик, Карманный мох",59.20666666666666,16.04,0.5873044827569124,13.0254,117.22373333333333,11.96160544217687,67.7,84.06666666666666,70.36666666666666,56.03333333333333,17.866666666666667
retaliation,14,оружие,rare,Тостер возмездия,60.61333333333333,17.446666666666665,0.6073631761498934,8.8332,123.6648,12.618857142857143,69.1,78.16666666666666,74.33333333333333,64.16666666666667,17.299999999999997
retaliation,8,амулет,uncommon,Губка с характером,53.2,10.033333333333333,0.48082645464531226,9.028,72.224,7.369795918367347,61.9,71.63333333333334,66.76666666666667,52.0,13.700000000000001
rewind,25,экипировка,legendary,Сапоги повелителя луж,78.49333333333334,35.32666666666667,0.7649602561697383,0.5683333333333334,142.3234,14.522795918367345,87.3,94.0,88.46666666666667,81.66666666666667,41.03333333333333
safeguard,90,амулет,rare,Шапочка из фольги,55.236666666666665,12.07,0.5213303243817975,1.0,88.7186,9.052918367346937,64.08333333333334,74.6,67.13333333333334,54.06666666666666,16.3
second_wind,18,амулет,uncommon,Запасное сердечко,66.75333333333333,23.586666666666666,0.6794269602953784,0.9205333333333333,166.68726666666666,17.008904761904763,75.93333333333334,87.16666666666667,78.73333333333333,68.0,23.933333333333334
shield_breaker,100,оружие,legendary,Таран последнего щита,78.68666666666667,35.52,0.7659032488570432,1.0,0.0,0.0,87.1,92.63333333333334,86.83333333333333,83.46666666666667,43.4
shield_breaker,70,оружие,rare,Таран щитолома,56.41333333333334,13.246666666666668,0.5425269394721709,1.0,0.0,0.0,65.86666666666666,72.39999999999999,70.33333333333334,56.666666666666664,16.8
spring,100,амулет,uncommon,Пружина злости,57.28666666666666,14.12,0.5572990272834272,1.0,0.0,0.0,65.93333333333334,73.86666666666667,71.5,57.99999999999999,17.133333333333333
spring,100,экипировка,rare,Ботинки на скрытой пружине,57.28666666666666,14.12,0.5572990272834272,1.0,0.0,0.0,65.93333333333334,73.86666666666667,71.5,57.99999999999999,17.133333333333333
spring,200,экипировка,legendary,Берцы на боевой пружине,69.90666666666667,26.740000000000002,0.7083356130715037,1.0,0.0,0.0,78.73333333333333,83.89999999999999,82.3,75.76666666666667,28.833333333333332
stun,1,амулет,legendary,Жало королевы шершней,53.44,10.273333333333333,0.7069154894943167,1.9197333333333333,0.0,0.0,60.3,72.39999999999999,64.26666666666667,51.43333333333333,18.8
survivor,30,амулет,legendary,Последний чек,43.166666666666664,0.0,0.0,0.0,0.0,0.0,50.5,61.33333333333333,56.2,39.06666666666666,8.733333333333333
tesla,15,амулет,legendary,Сердце шаровой молнии,65.29333333333334,22.126666666666665,0.6643199547405765,0.9862,156.00553333333335,15.918931972789116,73.93333333333332,83.56666666666666,77.13333333333333,66.93333333333334,24.9
thorns,7,амулет,uncommon,Бусина кактуса,57.38666666666666,14.219999999999999,0.5671314161992932,8.870066666666666,57.74706666666667,5.892557823129252,68.13333333333334,76.06666666666668,73.93333333333332,50.33333333333333,18.46666666666667
trophy_compass,35,амулет,rare,Компас трофеев,43.166666666666664,0.0,0.0,0.0,0.0,0.0,50.5,61.33333333333333,56.2,39.06666666666666,8.733333333333333
vampiric,12,оружие,rare,Банка с пиявками,57.879999999999995,14.713333333333335,0.5669190181060733,9.2934,108.3156,11.05261224489796,65.53333333333333,83.63333333333334,67.10000000000001,55.766666666666666,17.366666666666667
vampiric,20,оружие,legendary,Капельница скорой помощи,66.60666666666667,23.44,0.6779609582319072,9.556866666666666,184.366,18.812857142857144,74.96666666666667,90.63333333333333,74.86666666666667,66.56666666666666,26.0
vampiric,9,амулет,uncommon,Вампирская трубочка,54.459999999999994,11.293333333333333,0.5065404388515237,9.181666666666667,80.38486666666667,8.202537414965986,62.36666666666667,79.13333333333334,64.53333333333333,51.300000000000004,14.966666666666667
venom_blade,16,экипировка,rare,Перчатки с молотым перцем,58.099999999999994,14.933333333333335,0.9765850197222848,6.1104666666666665,12.2162,1.2465510204081633,67.80000000000001,77.60000000000001,69.76666666666667,54.166666666666664,21.166666666666668
venom_blade,20,оружие,rare,Аптечный кортик,64.12666666666667,20.96,0.9628084963032965,6.035,36.1434,3.688102040816327,74.13333333333333,82.13333333333334,75.16666666666667,62.3,26.900000000000002
venom_blade,28,экипировка,legendary,Перчатки с контрабандным перцем чили,66.97333333333333,23.80666666666667,0.9554959606889367,6.206,12.406266666666667,1.2659455782312927,76.9,85.2,77.63333333333333,63.93333333333333,31.2
venom_blade,30,оружие,legendary,Клык короля ядов,75.02666666666667,31.86,0.9238367910834284,5.939733333333334,71.0058,7.245489795918367,84.5,90.63333333333333,84.56666666666666,72.63333333333334,42.8
vitality,60,амулет,common,Чайный пакетик бессмертия,51.366666666666674,8.200000000000001,0.43908963517014105,0.0,0.0,0.0,59.36666666666667,72.06666666666666,63.63333333333333,48.833333333333336,12.933333333333334
wound,2,оружие,rare,Коса короткой жизни,60.67333333333333,17.506666666666668,0.6081855206115447,6.3116,125.76206666666667,12.832863945578232,69.03333333333333,79.63333333333334,73.13333333333333,61.06666666666667,20.5
wound,2,оружие,rare,Пила увядания,55.413333333333334,12.246666666666666,0.524645169436938,3.7661333333333333,80.541,8.218469387755102,64.43333333333334,76.5,67.43333333333334,51.366666666666674,17.333333333333336
wound,3,оружие,legendary,Коса пустого здоровья,69.35333333333334,26.186666666666667,0.7036107041826117,6.327533333333333,188.52013333333332,19.236748299319725,78.43333333333334,87.0,80.63333333333334,70.39999999999999,30.3
